,Unnamed: 0,Name,user_id,product_id,rating,times_stamps,offers,product_name
16,16,Divij Brar,A3J3BRHTDRFJ2G,Baileys Deliciously Light,2.0,1198368000,"""Birthday month exclusive: 10% off for all August birthdays.""",Aviation Old Tom
17,17,Divij Brar,A3J3BRHTDRFJ2G,Baileys Espresso Creme,5.0,1236470400,"""BOGO 50% off on all dresses.""",Baileys Almande
18,18,Divij Brar,A3J3BRHTDRFJ2G,Baileys Original,2.0,1249862400,"""Enjoy free shipping on orders over $25.""",Baileys Chocolate Cherry
19,19,Divij Brar,A3J3BRHTDRFJ2G,Baileys Original Minis,2.0,1251072000,"""BOGO 50% off on all dresses.""",Baileys Deliciously Light
20,20,Divij Brar,A3J3BRHTDRFJ2G,Baileys Pumpkin Spice,4.0,1261267200,"""Save $10 when you spend $50 or more.""",Baileys Espresso Creme
21,21,Divij Brar,A3J3BRHTDRFJ2G,Baileys Salted Caramel,1.0,1313884800,"""Upgrade your phone and get a free case and screen protector.""",Baileys Original
22,22,Divij Brar,A3J3BRHTDRFJ2G,Baileys Strawberries & Cream,2.0,1331164800,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates.""",Baileys Original Minis
23,23,Divij Brar,A3J3BRHTDRFJ2G,Baileys Vanilla Cinnamon,4.0,1301788800,"""Refer a friend and get 20% off your next purchase when they make their first order.""",Baileys Pumpkin Spice
24,24,Divij Brar,A3J3BRHTDRFJ2G,Balcones Baby Blue Corn Whisky,2.0,1352851200,"""BOGO 50% off on all dresses.""",Baileys Salted Caramel
25,25,Divij Brar,A3J3BRHTDRFJ2G,Balcones Brimstone Smoked Whisky,3.0,1358726400,"""Buy one pair of shoes, get a second pair free.""",Baileys Strawberries & Cream
26,26,Divij Brar,A3J3BRHTDRFJ2G,Balcones Lineage Single Malt Whisky,5.0,1397433600,"""Buy a laptop, mouse, and bag together and save 15%.""",Baileys Vanilla Cinnamon
27,27,Divij Brar,A3J3BRHTDRFJ2G,Balcones Pot Still Bourbon Whisky,4.0,1397433600,"""Tag a friend and both of you get a 15% discount code.""",Balcones Baby Blue Corn Whisky
28,28,Krish Ghosh,A2TY0BTJOTENPG,Balcones Rumble,5.0,1395878400,"""Save $10 when you spend $50 or more.""",American Anthem American Vodka
29,29,Krish Ghosh,A2TY0BTJOTENPG,Balcones Texas 1 Single Malt Whisky,5.0,1394323200,"""Save $10 when you spend $50 or more.""",Balcones Brimstone Smoked Whisky
30,30,Krish Ghosh,A2TY0BTJOTENPG,Balcones Texas 1 Single Malt Whisky SB,5.0,1389225600,"""Save $10 when you spend $50 or more.""",Balcones Lineage Single Malt Whisky
31,31,Krish Ghosh,A2TY0BTJOTENPG,Balcones Texas Rye Whisky,5.0,1391385600,"""Buy one pair of shoes, get a second pair free.""",Balcones Pot Still Bourbon Whisky
32,32,Kiara Chauhan,A34ATBPOK6HCHY,Balcones Tres Hombres Texas Whisky,5.0,1395532800,"""Save $10 when you spend $50 or more.""",American Anthem American Vodka
33,33,Kiara Chauhan,A34ATBPOK6HCHY,Balcones True Blue 100 Corn Whisky,2.0,1395273600,"""Limited stock remaining: Clearance items must go!""",Balcones Rumble
34,34,Kiara Chauhan,A34ATBPOK6HCHY,Bell's Original,1.0,1395273600,"""Enjoy free shipping on orders over $25.""",Balcones Texas 1 Single Malt Whisky
35,35,Rohan Bath,A89DO69P0XZ27,Benrinnes 21 YO,5.0,1395446400,"""Save $10 when you spend $50 or more.""",American Anthem American Vodka
36,36,Elakshi Joshi,AZYNQZ94U6VDB,Black & White Blended Whisky,5.0,1401321600,"""Save $10 when you spend $50 or more.""",American Anthem American Vodka
37,37,Elakshi Joshi,AZYNQZ94U6VDB,Blade and Bow,1.0,1401321600,"""Birthday month exclusive: 10% off for all August birthdays.""",Balcones Texas 1 Single Malt Whisky SB
38,38,Elakshi Joshi,AZYNQZ94U6VDB,Blade and Bow 22 Year,5.0,1401321600,"""Enjoy free shipping on orders over $25.""",Balcones Texas Rye Whisky
39,39,Elakshi Joshi,AZYNQZ94U6VDB,Blair Athol 23YO,5.0,1402531200,"""Give $10, get $10 when you refer a friend.""",Balcones Tres Hombres Texas Whisky
40,40,Elakshi Joshi,AZYNQZ94U6VDB,Brora 25YO,1.0,1401321600,"""Back-to-school sale: Save on backpacks, notebooks, and more.""",Balcones True Blue 100 Corn Whisky
41,41,Taran Lad,A1DA3W4GTFXP6O,Brora 34YO,5.0,1405641600,"""Take $20 off your next purchase.""",Bell's Original
42,42,Drishya Bahl,A29LPQQDG7LD5J,Brora 35YO,1.0,1352073600,"""Take $20 off your next purchase.""",Bell's Original
43,43,Jhanvi Jayaraman,AO94DHGC771SJ,Brora 37YO,5.0,1370131200,"""Take $20 off your next purchase.""",Bell's Original
44,44,Jhanvi Jayaraman,AO94DHGC771SJ,Brora 38YO,5.0,1366156800,"""Limited stock remaining: Clearance items must go!""",Benrinnes 21 YO
45,45,Jhanvi Jayaraman,AO94DHGC771SJ,Buchanan's DeLuxe Aged 12 Years,5.0,1375920000,"""Refer a friend and get 20% off your next purchase when they make their first order.""",Black & White Blended Whisky
46,46,Jhanvi Jayaraman,AO94DHGC771SJ,Buchanan's Master,5.0,1366156800,"""First-time buyers: Take $5 off your initial purchase.""",Blade and Bow
47,47,Jhanvi Jayaraman,AO94DHGC771SJ,Buchanan's Pineapple,5.0,1375920000,"""Give $10, get $10 when you refer a friend.""",Blade and Bow 22 Year
48,48,Jhanvi Jayaraman,AO94DHGC771SJ,Buchanan's Red Seal,5.0,1355356800,"""Limited stock remaining: Clearance items must go!""",Blair Athol 23YO
49,49,Jhanvi Jayaraman,AO94DHGC771SJ,Buchanan's Select Aged 15 YO,5.0,1375920000,"""BOGO 50% off on all dresses.""",Brora 25YO
50,50,Jhanvi Jayaraman,AO94DHGC771SJ,Buchanan's Special Reserve Aged 18 Years,4.0,1353456000,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates.""",Brora 34YO
51,51,Jhanvi Jayaraman,AO94DHGC771SJ,Bulleit Bourbon,5.0,1379980800,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates.""",Brora 35YO
52,52,Yuvaan Mann,AMO214LNFCEI4,Bulleit Bourbon 10YO,1.0,1290643200,"""Take $20 off your next purchase.""",Bell's Original
53,53,Yuvaan Mann,AMO214LNFCEI4,Bulleit Bourbon Barrel Strength,5.0,1167955200,"""Limited stock remaining: Clearance items must go!""",Brora 37YO
54,54,Yuvaan Mann,AMO214LNFCEI4,Bulleit Bourbon Blenders Select,4.0,1215561600,"""Take $20 off your next purchase.""",Brora 38YO
55,55,Yuvaan Mann,AMO214LNFCEI4,Bulleit Bourbon Single Barrel,5.0,1219708800,"""Buy one pair of shoes, get a second pair free.""",Buchanan's DeLuxe Aged 12 Years
56,56,Yuvaan Mann,AMO214LNFCEI4,Bulleit Manhattan Cocktail (RTS),5.0,1384387200,"""Happy Birthday! Enjoy 25% off your purchase on your special day.""",Buchanan's Master
57,57,Yuvaan Mann,AMO214LNFCEI4,Bulleit Old Fashioned Cocktail (RTS),1.0,1313107200,"""Take $20 off your next purchase.""",Buchanan's Pineapple
58,58,Yuvaan Mann,AMO214LNFCEI4,Bulleit Rye,3.0,1384387200,"""Enjoy free shipping on orders over $25.""",Buchanan's Red Seal
59,59,Yuvaan Mann,AMO214LNFCEI4,Bulleit Rye 12 YO,2.0,1361577600,"""Last chance to grab items at clearance prices. Up to 70% off!""",Buchanan's Select Aged 15 YO
60,60,Yuvaan Mann,AMO214LNFCEI4,Bushmills 1608,3.0,1384387200,"""Upgrade your phone and get a free case and screen protector.""",Buchanan's Special Reserve Aged 18 Years
61,61,Saanvi Bhatia,A28B1G1MSJ6OO1,Bushmills Black Bush,4.0,1280016000,"""Take $20 off your next purchase.""",Bell's Original
62,62,Saanvi Bhatia,A28B1G1MSJ6OO1,Bushmills Irish Honey,1.0,1091318400,"""Birthday month exclusive: 10% off for all August birthdays.""",Bulleit Bourbon
63,63,Farhan Dugar,A3N7T0DY83Y4IG,Bushmills Malt Aged 10 Years,3.0,1283990400,"""Take $20 off your next purchase.""",Bell's Original
64,64,Farhan Dugar,A3N7T0DY83Y4IG,Bushmills Malt Aged 16 Years,5.0,1322179200,"""Give $10, get $10 when you refer a friend.""",Bulleit Bourbon 10YO
65,65,Farhan Dugar,A3N7T0DY83Y4IG,Bushmills Malt Aged 21 Years,4.0,1163894400,"""Refer a friend and get 20% off your next purchase when they make their first order.""",Bulleit Bourbon Barrel Strength
66,66,Farhan Dugar,A3N7T0DY83Y4IG,Bushmills Original,5.0,1359763200,"""Take $20 off your next purchase.""",Bulleit Bourbon Blenders Select
67,67,Farhan Dugar,A3N7T0DY83Y4IG,Cabin Fever Maple Whiskey,5.0,1296345600,"""Join our mailing list for exclusive offers and a one-time 15% discount.""",Bulleit Bourbon Single Barrel
68,68,Farhan Dugar,A3N7T0DY83Y4IG,Cacique Rum,5.0,1273276800,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount.""",Bulleit Manhattan Cocktail (RTS)
69,69,Farhan Dugar,A3N7T0DY83Y4IG,Cambus 40YO,3.0,1273276800,"""Get 20% off on all orders this weekend!""",Bulleit Old Fashioned Cocktail (RTS)
70,70,Farhan Dugar,A3N7T0DY83Y4IG,Cameron Brig 26 YO SR,5.0,1296432000,"""Birthday month exclusive: 10% off for all August birthdays.""",Bulleit Rye
71,71,Farhan Dugar,A3N7T0DY83Y4IG,Caol Ila 12YO,4.0,1296345600,"""BOGO 50% off on all dresses.""",Bulleit Rye 12 YO
72,72,Farhan Dugar,A3N7T0DY83Y4IG,Caol Ila 15YO,5.0,1273276800,"""Birthday month exclusive: 10% off for all August birthdays.""",Bushmills 1608
73,73,Farhan Dugar,A3N7T0DY83Y4IG,Caol Ila 17YO,4.0,1362268800,"""Refer a friend and get 20% off your next purchase when they make their first order.""",Bushmills Black Bush
74,74,Farhan Dugar,A3N7T0DY83Y4IG,Caol Ila 18YO,5.0,1376697600,"""Limited stock remaining: Clearance items must go!""",Bushmills Irish Honey
75,75,Farhan Dugar,A3N7T0DY83Y4IG,Caol Ila 18YO Special Release,3.0,1396656000,"""Birthday month exclusive: 10% off for all August birthdays.""",Bushmills Malt Aged 10 Years
76,76,Farhan Dugar,A3N7T0DY83Y4IG,Caol Ila 30 YO,5.0,1404345600,"""Limited stock remaining: Clearance items must go!""",Bushmills Malt Aged 16 Years
77,77,Anay Sane,A1H8PY3QHMQQA0,Caol Ila 35YO SR18,2.0,1290556800,"""Take $20 off your next purchase.""",Bell's Original
78,78,Anay Sane,A1H8PY3QHMQQA0,Caol Ila Distillers Edition,4.0,1385856000,"""First-time buyers: Take $5 off your initial purchase.""",Bushmills Malt Aged 21 Years
79,79,Anay Sane,A1H8PY3QHMQQA0,Caol Ila Highland 15YO SR18,5.0,1329782400,"""Enter our Instagram giveaway for a chance to win a $100 gift card.""",Bushmills Original
80,80,Anay Sane,A1H8PY3QHMQQA0,Caol Ila Stitchell Reserve,5.0,1361059200,"""Upgrade your phone and get a free case and screen protector.""",Cabin Fever Maple Whiskey
81,81,Anay Sane,A1H8PY3QHMQQA0,CM Long Island Ice Tea,4.0,1329782400,"""Limited-time offer: 50% off until midnight!""",Cacique Rum
82,82,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan 100 Proof Spiced Rum,4.0,1283126400,"""Welcome to our store! New customers get 15% off their first order.""",Cambus 40YO
83,83,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Black Spiced Rum,5.0,1285372800,"""BOGO 50% off on all dresses.""",Cameron Brig 26 YO SR
84,84,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Cannon Blast,5.0,1328486400,"""Buy one pair of shoes, get a second pair free.""",Caol Ila 12YO
85,85,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Caribbean Coconut,5.0,1385856000,"""Last chance to grab items at clearance prices. Up to 70% off!""",Caol Ila 15YO
86,86,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Caribbean Pineapple,5.0,1394841600,"""Tag a friend and both of you get a 15% discount code.""",Caol Ila 17YO
87,87,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Caribbean White Rum,5.0,1334448000,"""Limited-time offer: 50% off until midnight!""",Caol Ila 18YO
88,88,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Original Spiced Rum,5.0,1328486400,"""Join our mailing list for exclusive offers and a one-time 15% discount.""",Caol Ila 18YO Special Release
89,89,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Private Stock,5.0,1329609600,"""Buy a laptop, mouse, and bag together and save 15%.""",Caol Ila 30 YO
90,90,Anay Sane,A1H8PY3QHMQQA0,Captain Morgan Silver Spiced,3.0,1385856000,"""Join our mailing list for exclusive offers and a one-time 15% discount.""",Caol Ila 35YO SR18
91,91,Anay Sane,A1H8PY3QHMQQA0,Cardhu 11YO SR,4.0,1361059200,"""Earn 1 point for every $1 spent; redeem 100 points for a $10 discount.""",Caol Ila Distillers Edition
92,92,Anay Sane,A1H8PY3QHMQQA0,Cardhu 12YO,4.0,1328486400,"""Refer a friend and get 20% off your next purchase when they make their first order.""",Caol Ila Highland 15YO SR18
93,93,Anay Sane,A1H8PY3QHMQQA0,Cardhu 14YO SR,5.0,1376092800,"""Enter our Instagram giveaway for a chance to win a $100 gift card.""",Caol Ila Stitchell Reserve
94,94,Anay Sane,A1H8PY3QHMQQA0,Cardhu 16YO SR,4.0,1376092800,"""Hurry! 24-hour flash sale: Up to 40% off select items.""",CM Long Island Ice Tea
95,95,Anay Sane,A1H8PY3QHMQQA0,Cardhu Gold Reserve - Targaryen,4.0,1341100800,"""Welcome to our store! New customers get 15% off their first order.""",Captain Morgan 100 Proof Spiced Rum
96,96,Anay Sane,A1H8PY3QHMQQA0,Carsebridge 48yo SR18,5.0,1385856000,"""BOGO 50% off on all dresses.""",Captain Morgan Black Spiced Rum
97,97,Anay Sane,A1H8PY3QHMQQA0,Cascade Blonde American Whiskey,4.0,1385856000,"""Join our mailing list for exclusive offers and a one-time 15% discount.""",Captain Morgan Cannon Blast
98,98,Anay Sane,A1H8PY3QHMQQA0,Cascade Moon 13YO Rye,5.0,1385856000,"""Buy one pair of shoes, get a second pair free.""",Captain Morgan Caribbean Coconut
99,99,Anay Sane,A1H8PY3QHMQQA0,Cascade Moon American Whiskey,5.0,1394841600,"""Buy one, get one 50% off.""",Captain Morgan Caribbean Pineapple
100,100,Anay Sane,A1H8PY3QHMQQA0,Ciroc Amaretto,4.0,1370822400,"""Free express shipping for a limited time.""",Captain Morgan Caribbean White Rum
101,101,Anay Sane,A1H8PY3QHMQQA0,Ciroc Apple,5.0,1385856000,"""Free express shipping for a limited time.""",Captain Morgan Original Spiced Rum
102,102,Anay Sane,A1H8PY3QHMQQA0,Ciroc Coconut Vodka,5.0,1385856000,"""First-time buyers: Take $5 off your initial purchase.""",Captain Morgan Private Stock
103,103,Anay Sane,A1H8PY3QHMQQA0,Ciroc Mango,4.0,1385856000,"""Save $10 when you spend $50 or more.""",Captain Morgan Silver Spiced
104,104,Lakshay Srinivas,A2CPBQ5W4OGBX,Ciroc Peach,2.0,1277078400,"""Take $20 off your next purchase.""",Bell's Original
105,105,Lakshay Srinivas,A2CPBQ5W4OGBX,Ciroc Pineapple,3.0,1362182400,"""Welcome to our store! New customers get 15% off their first order.""",Cardhu 11YO SR
106,106,Rania Setty,A265MKAR2WEH3Y,Ciroc Red Berry Vodka,4.0,1294790400,"""Take $20 off your next purchase.""",Bell's Original
107,107,Rania Setty,A265MKAR2WEH3Y,Ciroc Summer Watermelon,2.0,1347494400,"""Welcome to our store! New customers get 15% off their first order.""",Cardhu 12YO
108,108,Armaan Rama,A37K02NKUIT68K,Ciroc VS,5.0,1293235200,"""Take $20 off your next purchase.""",Bell's Original
109,109,Armaan Rama,A37K02NKUIT68K,Ciroc Vodka,5.0,1401408000,"""Limited stock remaining: Clearance items must go!""",Cardhu 14YO SR
110,110,Armaan Rama,A37K02NKUIT68K,Classic Malts Selection,4.0,1320192000,"""Limited-time offer: 50% off until midnight!""",Cardhu 16YO SR
111,111,Rohan Vasa,A2AW1SSVUIYV9Y,Clynelish 12YO SR,4.0,1289001600,"""Take $20 off your next purchase.""",Bell's Original
112,112,Rasha Chana,A2AEHUKOV014BP,Clynelish 14YO,5.0,1284249600,"""Take $20 off your next purchase.""",Bell's Original
113,113,Mahika Bala,AMLFNXUIEMN4T,Clynelish Distillers Edition,1.0,1307836800,"""Take $20 off your next purchase.""",Bell's Original
114,114,Samarth Singh,A2O8FIJR9EBU56,Clynelish Flavour Led,4.0,1278547200,"""Take $20 off your next purchase.""",Bell's Original
115,115,Riya Gaba,A3IQGFB959IR4P,Clynelish Reserve Tyrell,1.0,1327363200,"""Take $20 off your next purchase.""",Bell's Original
116,116,Oorja Sankar,AYTBGUX49LF3W,Cocktail Time Keylime Margarita,4.0,1398470400,"""Take $20 off your next purchase.""",Bell's Original
117,117,Onkar Dyal,A24QFSUU00IZ05,Cocktail Time Strawberry Margarita,2.0,1293580800,"""Take $20 off your next purchase.""",Bell's Original
118,118,Advika Ray,A1NG5X8VYZWX0Q,Convalmore 32YO,1.0,1286582400,"""Take $20 off your next purchase.""",Bell's Original
119,119,Kimaya Malhotra,A1E4WG8HRWWK4R,Convalmore 36YO,5.0,1390867200,"""Take $20 off your next purchase.""",Bell's Original
120,120,Kimaya Malhotra,A1E4WG8HRWWK4R,Copper Dog Blended Malt Scotch Whisky,1.0,1267833600,"""Happy Birthday! Enjoy 25% off your purchase on your special day.""",Cardhu Gold Reserve - Targaryen
121,121,Kimaya Malhotra,A1E4WG8HRWWK4R,Cragganmore 10YO,5.0,1390867200,"""Limited-time offer: 50% off until midnight!""",Carsebridge 48yo SR18
122,122,Vihaan Virk,A2AOEW5UGXFOOQ,Cragganmore 12YO,5.0,1294790400,"""Take $20 off your next purchase.""",Bell's Original
123,123,Anahita Mall,A2XSWV6AQI90BR,Cragganmore 20YO SR,1.0,1299974400,"""Take $20 off your next purchase.""",Bell's Original
124,124,Anahita Mall,A2XSWV6AQI90BR,Cragganmore 21YO,5.0,1332806400,"""Hurry! 24-hour flash sale: Up to 40% off select items.""",Cascade Blonde American Whiskey
125,125,Renee Sani,AR84FMFYCQCWF,Cragganmore 25 YO,1.0,1296691200,"""Take $20 off your next purchase.""",Bell's Original
126,126,Anay Varty,A19TBA1WARJS55,Cragganmore 29YO,2.0,1340496000,"""Take $20 off your next purchase.""",Bell's Original
127,127,Aarna Sibal,A3C5SMBSKKWNPT,Cragganmore Distillers Edition,5.0,1285113600,"""Take $20 off your next purchase.""",Bell's Original
128,128,Amani Kaul,A24EV6RXELQZ63,Cragganmore Flavour Led,1.0,1317254400,"""Take $20 off your next purchase.""",Bell's Original
129,129,Amani Kaul,A24EV6RXELQZ63,Crawfords 3 Star Special Reserve,5.0,1328572800,"""Subscribe to our newsletter and receive 10% off your first order.""",Cascade Moon 13YO Rye
130,130,Amani Kaul,A24EV6RXELQZ63,Crown Royal Black,1.0,1379980800,"""Join our mailing list for exclusive offers and a one-time 15% discount.""",Cascade Moon American Whiskey
131,131,Amani Kaul,A24EV6RXELQZ63,Crown Royal Canadian Whisky,4.0,1363219200,"""Limited-time offer: 50% off until midnight!""",Ciroc Amaretto
132,132,Amani Kaul,A24EV6RXELQZ63,Crown Royal Maple Finished,5.0,1328572800,"""BOGO 50% off on all dresses.""",Ciroc Apple
133,133,Amani Kaul,A24EV6RXELQZ63,Crown Royal Northern Harvest Rye,5.0,1363219200,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates.""",Ciroc Coconut Vodka
134,134,Hazel Venkatesh,A3T6ZQONABIJSG,Crown Royal Peach,1.0,1358035200,"""Take $20 off your next purchase.""",Bell's Original
135,135,Hazel Venkatesh,A3T6ZQONABIJSG,Crown Royal Regal Apple,4.0,1358035200,"""Limited-time offer: 50% off until midnight!""",Carsebridge 48yo SR18
136,136,Aradhya Sundaram,A132P6YSJSI5G2,Crown Royal Reserve,2.0,1298851200,"""Take $20 off your next purchase.""",Bell's Original
137,137,Hansh Bhattacharyya,A1NQPG5IJ43HJI,Crown Royal Salted Caramel,3.0,1372550400,"""Enjoy free shipping on orders over $25.""",Ciroc Mango
138,138,Hansh Bhattacharyya,A1NQPG5IJ43HJI,Crown Royal Vanilla,5.0,1359504000,"""Hurry! 24-hour flash sale: Up to 40% off select items.""",Ciroc Peach
139,139,Hansh Bhattacharyya,A1NQPG5IJ43HJI,Crown Royal XO,5.0,1384387200,"""Give $10, get $10 when you refer a friend.""",Ciroc Pineapple
140,140,Hansh Bhattacharyya,A1NQPG5IJ43HJI,Dailuaine 34YO,5.0,1398384000,"""Birthday month exclusive: 10% off for all August birthdays.""",Ciroc Red Berry Vodka
141,141,Hansh Bhattacharyya,A1NQPG5IJ43HJI,Dalwhinnie 15YO,1.0,1398384000,"""Happy Birthday! Enjoy 25% off your purchase on your special day.""",Ciroc Summer Watermelon
142,142,Hansh Bhattacharyya,A1NQPG5IJ43HJI,Dalwhinnie 25YO,5.0,1384387200,"""Happy Birthday! Enjoy 25% off your purchase on your special day.""",Ciroc VS
143,143,Samar Tata,A2WOJCFAWI8VS8,Dalwhinnie 30YO SR,5.0,1379376000,"""Free express shipping for a limited time.""",Ciroc Vodka
144,144,Samar Tata,A2WOJCFAWI8VS8,Dalwhinnie Distillers Edition,5.0,1401148800,"""Limited stock remaining: Clearance items must go!""",Classic Malts Selection
145,145,Mamooty Sami,A22FB2WSZSXSHH,Dalwhinnie Winters Frost,5.0,1348790400,"""Free express shipping for a limited time.""",Ciroc Vodka
146,146,Veer Kumer,AZQZ3STMCBG5H,DeLeon Anejo,5.0,1395705600,"""Free express shipping for a limited time.""",Ciroc Vodka
147,147,Anika Chadha,A2EGPA22UHMQXL,DeLeon Blanco,1.0,1405296000,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
148,148,Fateh Hayre,AC57CU3TF6ZMJ,DeLeon Diamante,5.0,1404172800,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
149,149,Pranay Solanki,A2YX0Z6RHA8Y2H,DeLeon Extra Anejo,1.0,1384300800,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
150,150,Hansh Ramesh,A38T51B7J6QVD9,DeLeon Leona,1.0,1377129600,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
151,151,Aarush Kara,A1HOSS7PNC1LMU,DeLeon Platinum,1.0,1374537600,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
152,152,Aarush Kara,A1HOSS7PNC1LMU,DeLeon Reposado,5.0,1374537600,"""Hurry! 24-hour flash sale: Up to 40% off select items.""",Clynelish 14YO
153,153,Aarush Kara,A1HOSS7PNC1LMU,Dimple Aged 15 Years,4.0,1374537600,"""Buy a laptop, mouse, and bag together and save 15%.""",Clynelish Distillers Edition
154,154,Gokul Shere,A9HI77BE35VYE,Don Julio 1942,1.0,1373932800,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
155,155,Shalv Bains,A3HFUWKSPF5QEH,Don Julio 70 Anejo,5.0,1374278400,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
156,156,Tejas De,A38ETMHM9ATSF0,Don Julio Anejo,1.0,1374105600,"""Buy one pair of shoes, get a second pair free.""",Clynelish 12YO SR
157,157,Rhea Chand,A34O6MND17VDDH,Don Julio Blanco,1.0,1323216000,"""BOGO 50% off on all dresses.""",Clynelish Flavour Led
158,158,Rhea Chand,A34O6MND17VDDH,Don Julio Primavera,1.0,1323216000,"""Enjoy free shipping on orders over $25.""",Clynelish Reserve Tyrell
159,159,Jhanvi Chaudry,A3JSAGWSLY5044,Don Julio Reposado,3.0,1404432000,"""Buy a laptop, mouse, and bag together and save 15%.""",Cocktail Time Keylime Margarita
160,160,Jhanvi Chaudry,A3JSAGWSLY5044,Don Julio Reposado Dos Barricas,5.0,1404432000,"""Free express shipping for a limited time.""",Cocktail Time Strawberry Margarita
161,161,Dharmajan Basak,A3B12X05JZKM94,Don Julio Reposado Private Cask,5.0,1405382400,"""Upgrade your phone and get a free case and screen protector.""",Convalmore 32YO
162,162,Mannat Lalla,AKZOMZCNU41GZ,Don Julio Rosado,4.0,1388620800,"""Upgrade your phone and get a free case and screen protector.""",Convalmore 32YO
163,163,Mannat Lalla,AKZOMZCNU41GZ,Don Julio Ultima Reserva,4.0,1391040000,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates.""",Convalmore 36YO
164,164,Mannat Lalla,AKZOMZCNU41GZ,Emmet's Classic Cream Liqueur,5.0,1388620800,"""Valentine's Day special: Buy a dozen roses, get a free box of chocolates.""",Copper Dog Blended Malt Scotch Whisky
165,165,Hazel Thaker,A2XTFY0GJDF3R2,George Dickel 8YO Bourbon,4.0,1300233600,"""Upgrade your phone and get a free case and screen protector.""",Convalmore 32YO
